epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7145,1.31332,1.99088,1.4276,0.68216,0.48457,0.55972,0.25964,1.75836,1.5511,1.70118,0.00023727,0.00023727,0.00023727
2,68.447,1.23805,1.47093,1.36471,0.6508,0.541,0.57446,0.26829,1.8343,1.5141,1.76077,0.00046586,0.00046586,0.00046586
3,102.343,1.22227,1.39581,1.35092,0.65896,0.53674,0.58062,0.28054,1.77057,1.47993,1.75662,0.000685024,0.000685024,0.000685024
4,136.306,1.20213,1.35015,1.34141,0.67213,0.56425,0.58716,0.2786,1.83787,1.54228,1.79872,0.000671588,0.000671588,0.000671588
5,170.443,1.17279,1.28148,1.32623,0.74515,0.58906,0.63304,0.32271,1.74632,1.29943,1.69883,0.000657451,0.000657451,0.000657451
6,204.793,1.13593,1.21811,1.30093,0.74357,0.6064,0.64624,0.3271,1.67709,1.26266,1.69851,0.000643314,0.000643314,0.000643314
7,239.162,1.11693,1.16697,1.28345,0.78427,0.63206,0.66995,0.32561,1.71496,1.25972,1.70829,0.000629177,0.000629177,0.000629177
8,273.611,1.10175,1.12462,1.27775,0.83773,0.60549,0.68029,0.33334,1.71972,1.1652,1.67862,0.00061504,0.00061504,0.00061504
9,308.203,1.08933,1.08576,1.26098,0.79851,0.61212,0.6834,0.34691,1.64568,1.17209,1.64247,0.000600902,0.000600902,0.000600902
10,342.779,1.07041,1.04852,1.24843,0.80431,0.63179,0.70072,0.37134,1.58197,1.17015,1.57293,0.000586765,0.000586765,0.000586765
11,377.504,1.05222,1.02465,1.23758,0.85323,0.63816,0.72392,0.38163,1.55468,1.09384,1.55562,0.000572628,0.000572628,0.000572628
12,412.196,1.03635,0.99947,1.22737,0.83746,0.63731,0.72225,0.38575,1.5346,1.02431,1.56732,0.000558491,0.000558491,0.000558491
